state,region,total_trees_millions,species_count,canopy_cover_pct,urban_tree_pct,wildfire_risk_index,drought_risk_index,average_precip_mm,average_temp_c,protected_area_trees_pct,reforestation_rate_pct,co2_sequestration_mt_per_year,trees_proxy_density
Alabama,South,7304.7,237,60.1,28.9,20.2,58.8,1433,21.9,12.3,1.37,135.41,1.976
Alaska,West,45266.6,135,70.2,26.5,65.2,35.9,982,0.8,54.5,0.71,957.98,4.367
Arizona,West,1282.6,151,21.9,24.9,88.1,46.3,252,12.7,26.6,1.94,12.8,0.013
Arkansas,South,7745.1,147,54.5,21.2,60.8,50.2,1171,16.9,22.3,0.56,128.63,0.933
California,West,10782.8,285,43.3,24.1,80.1,60.9,655,9.4,24.0,2.19,146.42,0.367
Colorado,West,8062.6,83,17.0,10.6,56.2,49.7,223,16.5,28.2,1.92,46.69,0.237
Connecticut,Northeast,3308.5,135,58.3,34.2,25.4,10.8,814,5.6,28.6,0.62,62.88,0.893
Delaware,Northeast,1287.4,129,50.6,26.4,12.5,27.1,1017,5.6,14.7,2.7,28.63,0.354
Florida,South,6747.8,222,49.5,34.4,18.1,45.8,1419,21.5,11.7,0.66,108.77,1.543
Georgia,South,7188.9,282,55.2,23.6,49.5,39.2,1355,14.8,17.5,0.31,123.99,1.13
Hawaii,West,729.6,204,23.6,21.8,12.5,33.5,2938,23.4,37.2,1.48,14.54,0.059
Idaho,West,8304.0,151,23.9,16.6,61.2,50.7,256,16.3,51.4,1.95,62.35,0.304
Illinois,Midwest,4297.1,97,46.8,25.8,8.8,46.2,738,4.3,21.1,1.16,68.63,0.931
Indiana,Midwest,5041.3,137,53.6,17.2,23.0,16.5,1162,5.3,10.9,1.33,90.99,1.056
Iowa,Midwest,5458.4,85,47.5,28.0,36.3,28.3,790,10.2,23.2,1.17,78.73,0.838
Kansas,Midwest,4733.9,90,53.1,16.3,9.3,42.4,692,5.4,22.0,2.47,77.38,1.157
Kentucky,South,3827.4,167,57.2,34.4,42.5,17.2,910,16.3,12.4,1.96,66.9,0.71
Louisiana,South,5297.5,286,50.3,19.0,59.2,45.8,1417,15.3,12.2,2.61,83.92,0.613
Maine,Northeast,2976.5,149,73.9,32.6,28.9,15.0,1355,5.2,24.8,0.56,70.18,0.97
Maryland,Northeast,3891.9,96,67.7,40.9,16.7,32.5,811,5.8,31.1,0.8,84.35,1.362
Massachusetts,Northeast,2739.3,139,65.4,34.1,15.3,18.1,1056,9.6,32.0,0.84,56.11,0.942
Michigan,Midwest,4730.1,127,28.2,13.2,25.8,11.6,1095,6.5,12.9,2.59,41.67,0.502
Minnesota,Midwest,2423.6,125,29.6,14.1,5.7,7.5,705,4.4,21.8,1.97,25.46,0.343
Mississippi,South,3884.9,297,60.6,32.0,17.4,19.1,1066,16.5,20.3,1.28,71.12,1.097
Missouri,Midwest,2868.1,100,40.7,13.8,34.2,7.3,1155,4.8,26.9,2.55,44.82,0.39
Montana,West,11366.9,156,26.0,25.6,38.1,57.5,354,16.6,36.2,0.56,93.44,0.722
Nebraska,Midwest,3084.4,122,32.0,18.6,17.8,19.7,828,9.5,15.9,2.67,38.77,0.412
Nevada,West,7096.1,185,15.1,27.0,69.2,76.3,494,14.3,30.1,2.44,33.47,0.13
New Hampshire,Northeast,6021.8,112,73.1,34.0,7.1,37.8,882,11.7,30.4,2.27,141.52,2.537
New Jersey,Northeast,1610.8,152,38.3,40.3,9.3,24.8,1143,8.3,24.0,2.28,23.43,0.347
New Mexico,West,8674.6,158,18.3,12.4,37.0,79.9,468,12.2,47.1,2.18,50.33,0.395
New York,Northeast,1965.4,133,40.5,21.3,28.4,20.3,1030,10.1,24.7,2.63,31.68,0.354
North Carolina,South,5095.3,176,43.2,34.7,54.5,57.6,983,22.5,21.5,0.52,71.92,0.565
North Dakota,Midwest,4430.5,103,38.6,26.9,15.3,25.6,865,6.4,28.4,2.23,52.41,0.735
Ohio,Midwest,5985.2,60,51.4,17.1,34.3,9.8,1199,9.3,23.0,0.44,101.26,1.026
Oklahoma,South,1717.5,164,35.0,30.5,25.9,55.5,1359,14.4,10.1,0.33,24.09,0.251
Oregon,West,11359.7,106,41.0,27.0,33.4,76.1,1487,15.7,44.4,0.72,140.97,1.225
Pennsylvania,Northeast,2414.5,133,57.1,36.7,8.9,30.7,916,6.9,28.3,2.75,47.48,0.779
Rhode Island,Northeast,974.4,154,56.6,44.6,27.1,29.8,904,5.6,16.2,1.39,24.39,0.249
South Carolina,South,6273.1,277,35.1,33.9,31.6,38.9,1390,20.5,26.9,0.59,71.14,0.85
South Dakota,Midwest,3020.2,105,39.2,14.1,9.7,17.5,783,7.4,22.2,1.85,39.64,0.543
Tennessee,South,4565.9,271,50.6,21.3,17.0,30.9,1232,16.3,20.3,1.67,76.33,1.082
Texas,South,7614.7,236,52.8,21.3,45.2,75.7,1286,20.3,16.5,1.55,128.62,1.243
Utah,West,4882.2,180,14.3,19.9,37.0,50.7,334,8.6,29.8,2.13,21.09,0.174
Vermont,Northeast,3899.3,150,77.0,21.4,20.0,9.2,1019,11.7,34.9,1.99,97.13,1.49
Virginia,South,4408.8,274,52.4,15.2,26.5,36.3,1015,15.7,25.1,2.77,74.87,0.958
Washington,West,11859.6,190,44.5,19.0,53.6,25.6,1005,12.3,36.4,2.56,158.77,0.967
West Virginia,South,5421.2,298,74.0,24.8,47.3,34.7,959,16.4,25.2,1.94,127.98,1.193
Wisconsin,Midwest,1290.5,117,41.2,18.1,34.6,26.7,1061,10.8,20.1,2.56,21.82,0.177
Wyoming,West,12008.6,124,18.5,20.0,61.9,44.6,271,17.2,42.1,0.26,75.92,0.334
District of Columbia,Northeast,29.1,78,40.2,78.1,9.7,11.9,1188,11.9,26.3,2.45,1.49,0.007